SQL File Name,Execution Time (seconds)
7.sql,1.1711251735687256
7.sql,1.186828851699829
7.sql,1.2175993919372559
7.sql,1.2135348320007324
7.sql,1.1963279247283936
7.sql,1.0180962085723877
7.sql,1.24275541305542
7.sql,1.255324125289917
7.sql,1.248304843902588
7.sql,1.2450542449951172
7.sql,1.1891429424285889
7.sql,1.2516334056854248
7.sql,1.2572460174560547
7.sql,1.1964826583862305
7.sql,1.2509565353393555
7.sql,1.2328262329101562
7.sql,1.239234447479248
7.sql,1.2278783321380615
7.sql,1.240941047668457
7.sql,1.228266954421997
16.sql,0.2672305107116699
16.sql,0.3057239055633545
16.sql,0.2751321792602539
16.sql,0.25052309036254883
16.sql,0.22713208198547363
16.sql,0.23209691047668457
16.sql,0.2478039264678955
16.sql,0.2237710952758789
16.sql,0.27585649490356445
16.sql,0.2850778102874756
16.sql,0.21674013137817383
16.sql,0.2707560062408447
16.sql,0.2233564853668213
16.sql,0.22729730606079102
16.sql,0.2605304718017578
16.sql,0.25318479537963867
16.sql,0.21700286865234375
16.sql,0.25525903701782227
16.sql,0.2238755226135254
16.sql,0.21118879318237305
5.sql,1.1513850688934326
5.sql,1.104623556137085
5.sql,1.1033365726470947
5.sql,1.1097841262817383
5.sql,1.0883822441101074
5.sql,1.0864338874816895
5.sql,1.0862257480621338
5.sql,1.0993194580078125
5.sql,1.1077673435211182
5.sql,1.164703607559204
5.sql,1.1423029899597168
5.sql,1.125413417816162
5.sql,1.1079626083374023
5.sql,1.115504264831543
5.sql,1.1292378902435303
5.sql,1.1422758102416992
5.sql,1.1174395084381104
5.sql,1.1160078048706055
5.sql,1.0975072383880615
5.sql,1.1405396461486816
18.sql,2.958568572998047
18.sql,2.7510552406311035
18.sql,2.7357447147369385
18.sql,2.77488112449646
18.sql,2.7593743801116943
18.sql,2.7675366401672363
18.sql,2.8246355056762695
18.sql,2.760014057159424
18.sql,2.739196538925171
18.sql,2.7988946437835693
18.sql,2.751791000366211
18.sql,2.81648588180542
18.sql,2.7576756477355957
18.sql,2.7632546424865723
18.sql,2.8165555000305176
18.sql,2.7642180919647217
18.sql,2.7433228492736816
18.sql,2.7372829914093018
18.sql,2.735478639602661
18.sql,1.4650776386260986
10.sql,1.257660150527954
10.sql,1.2348146438598633
10.sql,1.2353160381317139
10.sql,1.2457795143127441
10.sql,1.2377288341522217
10.sql,1.219456672668457
10.sql,1.2371678352355957
10.sql,1.2499425411224365
10.sql,1.1830394268035889
10.sql,1.224689245223999
10.sql,1.2014834880828857
10.sql,1.2394654750823975
10.sql,1.231010913848877
10.sql,1.2575061321258545
10.sql,1.2292189598083496
10.sql,1.192983865737915
10.sql,1.2400248050689697
10.sql,1.1796221733093262
10.sql,1.2588083744049072
10.sql,1.2317800521850586
19.sql,1.292922019958496
19.sql,1.2372982501983643
19.sql,1.2871379852294922
19.sql,1.2731146812438965
19.sql,1.2947053909301758
19.sql,1.2846884727478027
19.sql,1.2860734462738037
19.sql,1.2853922843933105
19.sql,1.2489464282989502
19.sql,1.261181354522705
19.sql,1.2684850692749023
19.sql,1.270132064819336
19.sql,1.2626163959503174
19.sql,1.2645556926727295
19.sql,1.2350223064422607
19.sql,0.21144890785217285
19.sql,1.2972307205200195
19.sql,1.312739610671997
19.sql,1.2877919673919678
19.sql,1.2969090938568115
3.sql,2.2125961780548096
3.sql,2.1526644229888916
3.sql,2.1236093044281006
3.sql,2.1339282989501953
3.sql,2.1181015968322754
3.sql,2.136082410812378
3.sql,2.0796284675598145
3.sql,2.1262500286102295
3.sql,2.1328539848327637
3.sql,2.0839576721191406
3.sql,2.1219534873962402
3.sql,2.1373648643493652
3.sql,2.123994827270508
3.sql,2.133419990539551
3.sql,2.1290855407714844
3.sql,2.116234540939331
3.sql,2.0992696285247803
3.sql,2.123058795928955
3.sql,2.1374781131744385
3.sql,2.078390121459961
11.sql,0.21673822402954102
11.sql,0.203704833984375
11.sql,0.14731335639953613
11.sql,0.20721197128295898
11.sql,0.20298409461975098
11.sql,0.18296289443969727
11.sql,0.20361042022705078
11.sql,0.1637282371520996
11.sql,0.16896843910217285
11.sql,0.15152812004089355
11.sql,0.16481471061706543
11.sql,0.16497302055358887
11.sql,0.16035008430480957
11.sql,0.19328618049621582
11.sql,0.1644148826599121
11.sql,0.14851140975952148
11.sql,0.15718841552734375
11.sql,0.1556999683380127
11.sql,0.15358638763427734
11.sql,0.1593317985534668
